"gs","date","player","dob","age","agef","title","count"
"US Open",2005-09-10,"federer",1981-08-08,24.0903490759754,24,1,6
"Australian Open",2006-01-29,"federer",1981-08-08,24.476386036961,24,1,7
NA,2006-04-17,"courier",1970-08-17,35.6659822039699,35,0,4
"Roland Garros",2006-06-10,"nadal",1986-06-03,20.0191649555099,20,1,2
"Wimbledon",2006-07-16,"federer",1981-08-08,24.9363449691992,24,1,8
"US Open",2006-09-10,"federer",1981-08-08,25.0896646132786,25,1,9
"Australian Open",2007-01-29,"federer",1981-08-08,25.4757015742642,25,1,10
"Roland Garros",2007-06-10,"nadal",1986-06-03,21.0184804928131,21,1,3
"Wimbledon",2007-07-16,"federer",1981-08-08,25.9356605065024,25,1,11
NA,2007-08-27,"agassi",1970-04-29,37.3278576317591,37,0,8
"US Open",2007-09-10,"federer",1981-08-08,26.0889801505818,26,1,12
NA,2007-10-08,"mcenroe",1959-02-16,48.6406570841889,48,0,7
"Australian Open",2008-01-29,"djokovic",1987-05-22,20.6899383983573,20,1,1
"Roland Garros",2008-06-10,"nadal",1986-06-03,22.0205338809035,22,1,4
"Wimbledon",2008-07-16,"nadal",1986-06-03,22.1190965092402,22,1,5
"US Open",2008-09-10,"federer",1981-08-08,27.0910335386721,27,1,13
"Australian Open",2009-01-29,"nadal",1986-06-03,22.6584531143053,22,1,6
NA,2009-05-25,"kuerten",1976-09-10,32.703627652293,32,0,3
"Roland Garros",2009-06-10,"federer",1981-08-08,27.8384668035592,27,1,14
"Wimbledon",2009-07-16,"federer",1981-08-08,27.937029431896,27,1,15
"Australian Open",2010-01-29,"federer",1981-08-08,28.476386036961,28,1,16
"Roland Garros",2010-06-10,"nadal",1986-06-03,24.0191649555099,24,1,7
"Wimbledon",2010-07-16,"nadal",1986-06-03,24.1177275838467,24,1,8
"US Open",2010-09-10,"nadal",1986-06-03,24.2710472279261,24,1,9
"Australian Open",2011-01-29,"djokovic",1987-05-22,23.6906228610541,23,1,2
"Roland Garros",2011-06-10,"nadal",1986-06-03,25.0184804928131,25,1,10
"Wimbledon",2011-07-16,"djokovic",1987-05-22,24.1505817932923,24,1,3
"US Open",2011-09-10,"djokovic",1987-05-22,24.3039014373717,24,1,4
"Australian Open",2012-01-29,"djokovic",1987-05-22,24.6899383983573,24,1,5
"Roland Garros",2012-06-10,"nadal",1986-06-03,26.0205338809035,26,1,11
"Wimbledon",2012-07-16,"federer",1981-08-08,30.9377138945927,30,1,17
"US Open",2012-09-10,"murray",1987-05-15,25.3251197809719,25,1,1
"Australian Open",2013-01-29,"djokovic",1987-05-22,25.6919917864476,25,1,6
"Roland Garros",2013-06-10,"nadal",1986-06-03,27.0198494182067,27,1,12
"Wimbledon",2013-07-16,"murray",1987-05-15,26.1711156741958,26,1,2
NA,2013-07-22,"connors",1952-09-02,60.8843258042437,60,0,8
"US Open",2013-09-10,"nadal",1986-06-03,27.2717316906229,27,1,13
"Australian Open",2014-01-29,"wawrinka",1985-03-28,28.8405201916496,28,1,1
"Roland Garros",2014-06-10,"nadal",1986-06-03,28.0191649555099,28,1,14
"Wimbledon",2014-07-16,"djokovic",1987-05-22,27.1512662559891,27,1,7
"Australian Open",2015-01-29,"djokovic",1987-05-22,27.6906228610541,27,1,8
"Roland Garros",2015-06-10,"wawrinka",1985-03-28,30.2012320328542,30,1,2
"Wimbledon",2015-07-16,"djokovic",1987-05-22,28.1505817932923,28,1,9
"US Open",2015-09-10,"djokovic",1987-05-22,28.3039014373717,28,1,10
"Australian Open",2016-01-29,"djokovic",1987-05-22,28.6899383983573,28,1,11
"Roland Garros",2016-06-10,"djokovic",1987-05-22,29.0540725530459,29,1,12
"Wimbledon",2016-07-16,"murray",1987-05-15,29.1718001368925,29,1,3
"US Open",2016-09-10,"wawrinka",1985-03-28,31.4551676933607,31,1,3
"Australian Open",2017-01-29,"federer",1981-08-08,35.4770704996578,35,1,18
"Roland Garros",2017-06-10,"nadal",1986-06-03,31.0198494182067,31,1,15
"Wimbledon",2017-07-16,"federer",1981-08-08,35.937029431896,35,1,19
NA,2017-07-17,"federer",1981-08-08,35.9397672826831,35,0,19
NA,2017-07-17,"nadal",1986-06-03,31.1211498973306,31,0,15
NA,2017-07-17,"djokovic",1987-05-22,30.154688569473,30,0,12
NA,2017-07-17,"wawrinka",1985-03-28,32.3039014373717,32,0,3
NA,2017-07-17,"murray",1987-05-15,30.1738535249829,30,0,3
