"gs","date","player","dob","age","agef","title","count"
"Wimbledon",2012-07-16,"federer",1981-08-08,30.9377138945927,30,1,17
"US Open",2012-09-10,"murray",1987-05-15,25.3251197809719,25,1,1
"Australian Open",2013-01-29,"djokovic",1987-05-22,25.6919917864476,25,1,6
"Roland Garros",2013-06-10,"nadal",1986-06-03,27.0198494182067,27,1,12
"Wimbledon",2013-07-16,"murray",1987-05-15,26.1711156741958,26,1,2
"US Open",2013-09-10,"nadal",1986-06-03,27.2717316906229,27,1,13
"Australian Open",2014-01-29,"wawrinka",1985-03-28,28.8405201916496,28,1,1
"Roland Garros",2014-06-10,"nadal",1986-06-03,28.0191649555099,28,1,14
"Wimbledon",2014-07-16,"djokovic",1987-05-22,27.1512662559891,27,1,7
"Australian Open",2015-01-29,"djokovic",1987-05-22,27.6906228610541,27,1,8
"Roland Garros",2015-06-10,"wawrinka",1985-03-28,30.2012320328542,30,1,2
"Wimbledon",2015-07-16,"djokovic",1987-05-22,28.1505817932923,28,1,9
"US Open",2015-09-10,"djokovic",1987-05-22,28.3039014373717,28,1,10
"Australian Open",2016-01-29,"djokovic",1987-05-22,28.6899383983573,28,1,11
"Roland Garros",2016-06-10,"djokovic",1987-05-22,29.0540725530459,29,1,12
"Wimbledon",2016-07-16,"murray",1987-05-15,29.1718001368925,29,1,3
"US Open",2016-09-10,"wawrinka",1985-03-28,31.4551676933607,31,1,3
"Australian Open",2017-01-29,"federer",1981-08-08,35.4770704996578,35,1,18
NA,2017-01-30,"federer",1981-08-08,35.4798083504449,35,0,18
NA,2017-01-30,"nadal",1986-06-03,30.6611909650924,30,0,14
NA,2017-01-30,"djokovic",1987-05-22,29.6947296372348,29,0,12
NA,2017-01-30,"wawrinka",1985-03-28,31.8439425051335,31,0,3
NA,2017-01-30,"murray",1987-05-15,29.7138945927447,29,0,3
